"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Albania","ALB","Arable land (% of land area)","AG.LND.ARBL.ZS","","15.7664233576642","15.9124087591241","16.0583941605839","16.1678832116788","16.7883211678832","17.3357664233577","17.8102189781022","18.2481751824818","18.6131386861314","19.014598540146","19.3430656934307","19.7080291970803","20","20.3284671532847","20.5474452554745","20.985401459854","21.1678832116788","21.2773722627737","21.2773722627737","21.3503649635036","21.4598540145985","21.4963503649635","21.4963503649635","21.4963503649635","21.4963503649635","21.4963503649635","21.5328467153285","21.5328467153285","21.2408759124088","21.1313868613139","21.0948905109489","21.0948905109489","21.0583941605839","21.0583941605839","21.0583941605839","21.0583941605839","21.0948905109489","21.0583941605839","21.0583941605839","21.0948905109489","21.0948905109489","21.0948905109489","21.0948905109489","21.0948905109489","19.6350364963504","21.3138686131387","21.0948905109489","22.2627737226277","22.2262773722628","22.8467153284672","22.7007299270073","22.5948905109489","22.521897810219","22.4671532846715","22.4489051094891","22.6386861313869","22.3357664233577","22.311897810219","22.2627737226277","21.8832116788321","","",
"Belgium","BEL","Arable land (% of land area)","AG.LND.ARBL.ZS","","30.6825106642291","30.5911029859842","30.4996953077392","30.4082876294942","30.3473491773309","30.2864107251676","30.164533820841","30.1340645947593","30.1035953686776","30.073126142596","30.073126142596","30.073126142596","30.0121876904327","29.9512492382694","29.9207800121877","29.890310786106","29.7684338817794","29.5856185252895","29.3113954905545","23.217550274223","23.1566118220597","23.0956733698964","23.1261425959781","23.217550274223","23.2784887263863","23.308957952468","23.3394271785497","23.3698964046313","23.3698964046313","23.3394271785497","23.1566118220597","25.3503960999391","25.624619134674","28.6410725167581","26.6301035953687","26.2644728823888","26.508226691042","26.599634369287","26.599634369287","28.4676354029062","27.9062087186262","27.4768824306473","27.5759577278732","27.7410832232497","27.8401585204756","27.8071334214003","27.7080581241744","27.8731836195509","27.7410832232497","27.5429326287979","27.2457067371202","26.5191545574637","26.9484808454425","26.9815059445178","27.3943196829591","28.0515191545575","27.6089828269485","28.0713342140026","28.3119550858653","28.5626354029062","","",
"Croatia","HRV","Arable land (% of land area)","AG.LND.ARBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.6776962976212","18.99481309247","19.7460203899124","19.9785369343588","17.6134333690604","17.5598428010004","19.4777320693972","19.1021284206761","15.0593790241809","15.2561167549006","15.3455429961368","15.4384961761132","15.1347294689443","15.5993138446144","15.7422628832821","15.2240726181116","15.3795296976628","15.5153312843971","16.1603888213852","16.0228003716675","16.1961260810521","15.6600671860482","14.5254091916232","15.0757629904939","15.6171824744479","14.5986705739404","14.3663783861054","14.7058823529412","15.8863473909936","","",
"Denmark","DNK","Arable land (% of land area)","AG.LND.ARBL.ZS","","70.175","69.325","68.6","68.15","67.325","67.15","67.125","67.35","66.95","66.525","66.175","66.275","66.325","66.025","66.25","66.425","65.925","66.075","66.05","65.975","65.925","65.75","64.825","65.3","65.025","64.85","64.45","64","63.625","64.025","63.7","63.475","63.325","59.125","57.975","58.05","59.125","59.15","57.35","57.025","57.3","56.9","56.65","56.725","58.3","58.675","57.65","60.05","60.775","60.525","62.475","60.45","60.19","60.8","58.791275","59.2625","59.185","59.71","59.8983","59.27325","","",
"Estonia","EST","Arable land (% of land area)","AG.LND.ARBL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3033734371314","25.1474404340646","22.3873555083746","20.618070299599","20.8539749941024","20.9483368719037","20.9247464024534","20.2642132578438","19.8867657466384","15.9707478178816","14.4751120547299","12.8568058504364","12.2505307855626","13.9608398207124","13.1894314696862","14.13776834159","14.1023826374145","14.069355980184","15.2158527954706","14.9186128803963","14.6378862939372","14.6767885898321","15.0448585231194","15.527950310559","16.0110420979986","15.8830409356725","15.9766081871345","16.140350877193","16.233918128655","","",
"Finland","FIN","Arable land (% of land area)","AG.LND.ARBL.ZS","","8.74848156538297","8.79575823237795","8.84960110312223","8.89589283955481","8.93167864998851","8.97403066417151","9.00357858104337","9.01244295610493","8.57382054565153","8.44807774385239","8.38077415542204","8.08529498670344","7.98811517121376","8.02849732427197","8.04950917626974","8.08266850520372","7.94051019403132","7.91260382809679","7.87780294822548","7.77766834104862","7.72415378049181","7.63222692800158","7.58856167306871","7.51731836238879","7.46840014445648","7.41849699596178","7.48284579270495","7.37516005121639","7.4221084080239","7.44902984339604","7.5501493811353","7.49991792245313","7.4710266259562","7.5501493811353","7.03732886831478","6.9713385206343","6.97856134475853","7.11513838274402","7.14764109130306","7.18375521192423","7.20082734167241","7.2395679437933","7.26813093010276","7.29078433303785","7.34265734265734","7.43316563085726","7.42115820974054","7.43369529450477","7.43106284962159","7.41954590325765","7.40564019875613","7.40103326861693","7.31876665898845","7.34081411036888","7.37817116909611","7.39034582606693","7.3769413003422","7.38352197946828","7.38656927582009","7.37974600250049","","",
"France","FRA","Arable land (% of land area)","AG.LND.ARBL.ZS","","35.8057293550001","35.6669333011911","35.529963511248","34.8414620338005","34.3264556236143","33.7183097562668","33.0115456401603","32.1038924988038","32.0783248046811","31.8080377525266","31.1487564969337","31.0957948448224","31.22180705157","31.5541870751654","31.6546315877903","31.2857262868768","31.5304456449086","31.6911568651085","31.7788175306721","31.9084822651516","32.0071005139107","32.2353834971492","32.2682562467356","32.5239331879627","32.7321272686763","32.8690970586194","33.1777356519579","32.5312382434264","32.3429504388512","32.4797376024078","32.5646588721725","32.5931485884807","32.9344773050189","33.0484361702516","33.18887586154","33.2471336788625","33.3660234565331","33.4535014957101","33.5176033574035","33.5199162842173","33.5043930697065","33.5511453392918","33.5022916145707","33.5447534274345","33.5628984744967","33.4924035305913","33.3959752135394","33.3640150705771","33.3411863970326","33.422456474851","33.3744249457134","33.3877568910634","33.4315879442688","33.4816283966783","33.7475367861245","33.5232971179256","33.7213605158915","33.1041334509467","32.9920410112555","32.793955697763","","",
"Germany","DEU","Arable land (% of land area)","AG.LND.ARBL.ZS","","35.001288918168","34.9010397273222","34.8437544754103","34.8322974250279","34.8093833242632","34.8151118494544","34.5115000143213","34.4628075501962","34.3740154097328","34.2336665425486","34.2709019562914","34.3826081975195","34.3425085211812","34.4284363990491","34.4885859135566","34.6203419929539","34.5745137914244","34.6174777303583","34.5344141150861","34.457079025005","34.3826081975195","34.2995445822473","34.2766304814825","34.2336665425486","34.2479878555266","34.2565806433134","34.2136167043795","34.2222094921662","34.2250737547618","34.2880875318649","33.1080113424799","32.8444991836852","33.4440879926673","33.8145570164132","33.9014608994557","33.9024320375834","33.8977223893425","34.0352988367429","33.8758668118517","33.8271958733343","33.8578389223273","33.7986584876455","33.9067113901551","34.1141726639333","34.1323546278243","34.0272998394127","34.0637278802306","34.2253965522187","34.2646510427125","33.9845655105144","34.0687399586872","33.9530613415964","34.0403577161202","34.018343364861","33.9563148540962","33.6701396839936","33.694936600166","33.5766214437003","33.5270042073328","33.3838976501903","","",
"Greece","GRC","Arable land (% of land area)","AG.LND.ARBL.ZS","","21.6757176105508","22.211016291699","23.7160589604344","23.2816136539953","23.2040341349884","23.2350659425912","23.4290147401086","23.6850271528317","23.4057408844065","23.3514352211016","23.2040341349884","23.1574864235842","22.9402637703646","22.8704422032583","22.5601241272304","22.4049650892164","22.2498060512025","22.6764934057409","22.7230411171451","22.5213343677269","22.6920093095423","22.7152831652444","22.4980605120248","22.6687354538402","22.4204809930178","22.3351435221102","22.2653219550039","22.211016291699","22.4437548487199","22.4903025601241","22.2420480993018","22.2187742435997","22.0248254460822","22.0015515903801","21.8851823118697","21.799844840962","21.6369278510473","21.5981380915438","21.4274631497285","21.2645461598138","21.1016291698991","21.0783553141971","21.0395655546936","20.3956555469356","20.4732350659426","20.0465477114042","19.9146625290923","19.8293250581846","19.7595034910784","19.9146625290923","19.7982932505818","19.7051978277735","19.4724592707525","17.2536850271528","16.8425135764158","16.6020170674942","16.6244173778123","16.61206128782","16.5394134988363","16.5394134988363","","",
"Hungary","HUN","Arable land (% of land area)","AG.LND.ARBL.ZS","","57.6854731230564","57.6760719840035","57.7029878929246","57.9029212484727","58.0870917573872","58.0491056549272","57.9444444444444","57.8619846649628","57.7841982442494","57.7128250722383","57.619206402134","57.5414026897855","57.5302878737357","57.0078915193954","56.9967767033456","56.787103946637","56.3694975544687","56.0853617872624","56.0164590747331","55.9114670225781","55.9621802002225","55.83490933363","55.8522474410325","55.9301290609702","56.0302625723186","56.1081441922563","56.1637739207833","56.1922777345054","56.214532101925","56.2367864693446","56.2590408367642","52.7651051518861","52.8377476073893","52.848876029379","53.4831960827955","53.5388381927443","53.6748329621381","53.6636971046771","53.619153674833","51.3501450569069","51.3947779513501","51.3947779513501","51.2943539388529","51.3055121624637","51.3447159915188","51.3000781162817","51.2442807722352","51.1661644905703","50.6461946316138","48.5143046503921","48.5474428366287","48.5695349607865","47.6748039323981","47.3591935130397","47.3811089195705","47.3701512163051","47.3701512163051","47.3811089195705","47.3044049967127","43.962305500767","","",
