"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2021 oktober","99","94","-5","9,8","2,1"
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2021 november","102","102","0","35,8","15,8"
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2021 december","105","112","7","20,3","11,7"
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2021","1.134","1.332","198",".","."
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2022 januari*","98","101","2",".","."
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2022 februari*","96","99","3",".","."
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2022 maart*","125","120","-5",".","."
"00 Levende dieren, m.u.v. dieren bedo...","EU (exclusief Nederland)","2022 april*","122","136","15",".","."
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 mei","5","32","28","200,8","56,8"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 juni","8","28","19","247,2","12,6"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 juli","8","41","33","33,5","41,9"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 augustus","7","36","29","163,9","21,0"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 september","7","39","32","79,2","8,7"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 oktober","6","43","36","217,6","11,7"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 november","7","40","32","167,4","-14,8"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021 december","7","52","44","19,7","34,5"
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2021","78","436","358",".","."
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2022 januari*","6","48","42",".","."
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2022 februari*","6","40","34",".","."
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2022 maart*","7","31","24",".","."
"00 Levende dieren, m.u.v. dieren bedo...","Niet-EU","2022 april*","6","36","30",".","."
