"SITC","Landen","Perioden","Invoerwaarde (mln euro)","Uitvoerwaarde (mln euro)","Handelsbalans (mln euro)","Jaarmutatie invoerwaarde (%)","Jaarmutatie uitvoerwaarde (%)"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 augustus","68","98","30","12,0","20,7"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 september","72","110","38","14,6","8,9"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 oktober","74","110","36","1,9","17,4"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 november","75","117","43","11,0","38,5"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021 december","74","111","38","14,5","42,4"
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2021","821","1.246","425",".","."
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2022 januari*","62","91","29",".","."
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2022 februari*","71","92","21",".","."
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2022 maart*","88","113","25",".","."
"06 Suiker en suikerwerken, honing","EU (exclusief Nederland)","2022 april*","78","103","25",".","."
"06 Suiker en suikerwerken, honing","Niet-EU","2021 mei","14","36","21","-6,3","-13,2"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 juni","14","41","27","-11,7","-9,4"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 juli","14","42","28","3,4","0,0"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 augustus","19","37","19","84,6","-0,8"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 september","17","40","23","-0,2","-4,2"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 oktober","15","36","21","-31,5","-19,2"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 november","25","42","18","58,7","-12,9"
"06 Suiker en suikerwerken, honing","Niet-EU","2021 december","18","45","27","19,0","2,7"
"06 Suiker en suikerwerken, honing","Niet-EU","2021","198","474","276",".","."
"06 Suiker en suikerwerken, honing","Niet-EU","2022 januari*","20","44","24",".","."
"06 Suiker en suikerwerken, honing","Niet-EU","2022 februari*","16","42","26",".","."
"06 Suiker en suikerwerken, honing","Niet-EU","2022 maart*","20","49","29",".","."
"06 Suiker en suikerwerken, honing","Niet-EU","2022 april*","20","41","21",".","."
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 mei","432","479","47","11,2","20,0"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 juni","473","605","132","19,0","40,1"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 juli","498","518","20","14,0","8,2"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 augustus","469","575","106","21,1","21,1"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 september","509","572","63","6,8","-1,0"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 oktober","528","568","40","10,7","-1,9"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 november","535","649","113","20,4","20,6"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021 december","487","574","87","2,0","18,9"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2021","5.828","6.622","793","7,0","11,2"
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2022 januari*","501","535","34",".","."
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2022 februari*","508","581","73",".","."
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2022 maart*","552","600","48",".","."
"07 Koffie, thee, cacao, specerijen en...","Totaal landen","2022 april*","498","528","29",".","."
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 mei","185","327","141","21,0","22,9"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 juni","208","428","220","26,3","48,5"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 juli","211","326","115","11,9","4,2"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 augustus","206","377","170","6,6","20,0"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 september","241","360","119","6,2","-6,4"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 oktober","241","381","140","12,3","0,5"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 november","236","424","187","17,0","18,7"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021 december","232","396","164","14,0","24,4"
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2021","2.547","4.459","1.913",".","."
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2022 januari*","231","378","147",".","."
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2022 februari*","237","413","176",".","."
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2022 maart*","257","417","160",".","."
"07 Koffie, thee, cacao, specerijen en...","EU (exclusief Nederland)","2022 april*","220","364","144",".","."
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 mei","247","152","-94","4,8","14,1"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 juni","264","177","-87","13,8","23,3"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 juli","287","192","-95","15,7","15,6"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 augustus","262","198","-64","35,6","23,2"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 september","268","212","-56","7,3","9,7"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 oktober","287","187","-100","9,4","-6,5"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 november","299","225","-74","23,3","24,4"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021 december","255","178","-77","-7,0","8,3"
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2021","3.282","2.162","-1.119",".","."
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2022 januari*","270","157","-113",".","."
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2022 februari*","271","168","-103",".","."
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2022 maart*","295","184","-112",".","."
"07 Koffie, thee, cacao, specerijen en...","Niet-EU","2022 april*","279","164","-115",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 mei","289","453","164","4,9","13,3"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 juni","298","463","165","4,9","12,3"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 juli","277","439","162","8,8","-0,4"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 augustus","322","438","116","26,5","16,2"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 september","315","471","156","6,3","10,3"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 oktober","268","450","182","-0,5","8,1"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 november","293","495","202","0,4","12,7"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021 december","421","509","87","35,5","17,5"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2021","3.694","5.523","1.829","12,0","9,4"
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2022 januari*","346","516","170",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2022 februari*","280","476","196",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2022 maart*","408","595","186",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Totaal landen","2022 april*","329","540","211",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 mei","168","322","155","13,6","15,5"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 juni","172","337","165","20,5","7,5"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 juli","163","322","159","5,8","2,1"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 augustus","164","326","163","4,9","14,2"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 september","181","334","153","12,6","2,8"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 oktober","174","333","160","-3,7","5,8"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 november","194","376","182","9,7","16,6"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021 december","208","395","187","16,5","23,8"
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2021","2.112","4.090","1.978",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2022 januari*","176","408","232",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2022 februari*","179","358","179",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2022 maart*","210","453","243",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","EU (exclusief Nederland)","2022 april*","189","403","214",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 mei","121","130","9","-5,2","8,3"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 juni","126","127","0","-10,8","27,2"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 juli","114","117","3","13,5","-6,8"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 augustus","159","112","-47","60,8","22,4"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 september","134","137","3","-1,2","34,2"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 oktober","95","117","22","5,9","15,3"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 november","98","119","20","-13,9","1,8"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021 december","214","114","-100","61,0","-0,2"
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2021","1.582","1.433","-149",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2022 januari*","170","108","-62",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2022 februari*","101","118","17",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2022 maart*","198","142","-56",".","."
"08 Veevoeder (m.u.v. niet gemalen gra...","Niet-EU","2022 april*","140","137","-3",".","."
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 mei","291","658","367","15,6","-0,6"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 juni","309","707","398","17,9","5,7"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 juli","310","666","355","7,9","-4,9"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 augustus","291","645","354","17,9","7,9"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 september","316","715","399","10,6","3,6"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 oktober","304","663","358","9,5","-2,4"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 november","319","762","442","15,1","19,9"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021 december","322","680","359","14,9","4,5"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2021","3.550","8.051","4.501","8,5","0,9"
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2022 januari*","270","730","460",".","."
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2022 februari*","293","723","430",".","."
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2022 maart*","357","854","497",".","."
"09 Bereide voedingsmiddelen n.a.g.","Totaal landen","2022 april*","321","776","455",".","."
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 mei","185","316","131","20,9","27,9"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 juni","201","348","147","20,6","31,2"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 juli","199","319","120","11,3","13,8"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 augustus","195","315","120","25,0","22,8"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 september","207","336","130","15,1","19,6"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 oktober","212","330","118","15,4","12,6"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 november","209","354","145","16,3","22,8"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021 december","215","343","127","14,7","21,1"
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2021","2.336","3.872","1.536",".","."
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2022 januari*","168","370","202",".","."
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2022 februari*","200","328","129",".","."
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2022 maart*","232","391","158",".","."
"09 Bereide voedingsmiddelen n.a.g.","EU (exclusief Nederland)","2022 april*","207","355","148",".","."
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 mei","106","342","236","7,3","-17,6"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 juni","108","358","250","13,1","-11,1"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 juli","112","347","235","2,2","-17,4"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 augustus","97","330","234","5,9","-3,4"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 september","109","379","270","2,8","-7,4"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 oktober","92","333","241","-1,9","-13,7"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 november","110","408","298","12,9","17,5"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021 december","106","338","231","15,2","-8,2"
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2021","1.214","4.179","2.965",".","."
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2022 januari*","102","360","258",".","."
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2022 februari*","93","395","302",".","."
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2022 maart*","124","463","339",".","."
"09 Bereide voedingsmiddelen n.a.g.","Niet-EU","2022 april*","114","421","307",".","."
"11 Dranken","Totaal landen","2021 mei","333","444","110","29,5","35,2"
"11 Dranken","Totaal landen","2021 juni","363","509","146","20,3","27,9"
"11 Dranken","Totaal landen","2021 juli","355","495","140","6,3","9,5"
"11 Dranken","Totaal landen","2021 augustus","299","474","175","3,1","14,9"
"11 Dranken","Totaal landen","2021 september","318","495","177","10,3","13,9"
"11 Dranken","Totaal landen","2021 oktober","332","435","104","9,2","-2,7"
"11 Dranken","Totaal landen","2021 november","375","499","123","21,6","19,8"
"11 Dranken","Totaal landen","2021 december","354","472","119","10,9","26,4"
"11 Dranken","Totaal landen","2021","3.833","5.495","1.662","12,3","13,9"
"11 Dranken","Totaal landen","2022 januari*","273","411","139",".","."
"11 Dranken","Totaal landen","2022 februari*","275","435","161",".","."
"11 Dranken","Totaal landen","2022 maart*","338","509","171",".","."
"11 Dranken","Totaal landen","2022 april*","330","475","145",".","."
"11 Dranken","EU (exclusief Nederland)","2021 mei","265","184","-81","31,3","29,0"
"11 Dranken","EU (exclusief Nederland)","2021 juni","298","222","-76","23,4","36,8"
"11 Dranken","EU (exclusief Nederland)","2021 juli","290","207","-83","9,3","18,7"
"11 Dranken","EU (exclusief Nederland)","2021 augustus","241","210","-31","9,0","30,5"
"11 Dranken","EU (exclusief Nederland)","2021 september","253","200","-53","18,4","15,2"
"11 Dranken","EU (exclusief Nederland)","2021 oktober","269","188","-81","18,7","6,5"
"11 Dranken","EU (exclusief Nederland)","2021 november","308","214","-94","25,9","38,4"
"11 Dranken","EU (exclusief Nederland)","2021 december","288","206","-82","13,4","43,8"
"11 Dranken","EU (exclusief Nederland)","2021","3.102","2.316","-786",".","."
"11 Dranken","EU (exclusief Nederland)","2022 januari*","215","182","-33",".","."
"11 Dranken","EU (exclusief Nederland)","2022 februari*","227","190","-37",".","."
"11 Dranken","EU (exclusief Nederland)","2022 maart*","274","222","-52",".","."
"11 Dranken","EU (exclusief Nederland)","2022 april*","273","195","-78",".","."
"11 Dranken","Niet-EU","2021 mei","68","260","191","23,1","40,0"
"11 Dranken","Niet-EU","2021 juni","65","287","222","7,7","21,8"
"11 Dranken","Niet-EU","2021 juli","64","288","224","-5,4","3,8"
"11 Dranken","Niet-EU","2021 augustus","59","264","205","-15,8","5,0"
"11 Dranken","Niet-EU","2021 september","65","295","230","-13,1","13,0"
"11 Dranken","Niet-EU","2021 oktober","63","248","185","-18,9","-8,6"
"11 Dranken","Niet-EU","2021 november","68","284","217","5,3","8,8"
"11 Dranken","Niet-EU","2021 december","65","266","200","1,4","15,5"
"11 Dranken","Niet-EU","2021","731","3.179","2.448",".","."
"11 Dranken","Niet-EU","2022 januari*","57","229","172",".","."
"11 Dranken","Niet-EU","2022 februari*","48","246","198",".","."
"11 Dranken","Niet-EU","2022 maart*","63","286","223",".","."
"11 Dranken","Niet-EU","2022 april*","57","281","224",".","."
"12 Tabak en tabaksfabricaten","Totaal landen","2021 mei","59","60","1","-19,3","-16,4"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 juni","63","94","31","-11,5","15,5"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 juli","69","86","17","17,3","-8,3"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 augustus","62","78","17","12,5","1,2"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 september","63","84","21","-30,5","-19,2"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 oktober","51","78","27","12,2","0,2"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 november","69","92","23","29,6","13,8"
"12 Tabak en tabaksfabricaten","Totaal landen","2021 december","58","80","22","24,8","32,5"
"12 Tabak en tabaksfabricaten","Totaal landen","2021","716","935","219","-10,1","-4,1"
"12 Tabak en tabaksfabricaten","Totaal landen","2022 januari*","61","77","16",".","."
"12 Tabak en tabaksfabricaten","Totaal landen","2022 februari*","50","60","10",".","."
"12 Tabak en tabaksfabricaten","Totaal landen","2022 maart*","63","91","28",".","."
"12 Tabak en tabaksfabricaten","Totaal landen","2022 april*","63","68","5",".","."
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 mei","52","43","-9","-14,4","7,1"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 juni","50","69","19","-10,1","48,3"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 juli","53","59","7","12,7","10,2"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 augustus","51","57","6","21,3","13,0"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 september","51","58","7","-35,2","-12,5"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 oktober","41","57","16","19,0","14,0"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 november","54","65","11","33,8","48,8"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021 december","41","62","21","19,7","52,8"
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2021","572","659","87",".","."
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2022 januari*","49","55","6",".","."
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2022 februari*","41","41","0",".","."
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2022 maart*","47","58","11",".","."
"12 Tabak en tabaksfabricaten","EU (exclusief Nederland)","2022 april*","50","42","-8",".","."
"12 Tabak en tabaksfabricaten","Niet-EU","2021 mei","7","17","10","-43,5","-46,6"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 juni","13","25","12","-16,6","-28,7"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 juli","16","27","11","35,1","-33,0"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 augustus","11","22","10","-15,4","-20,6"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 september","12","26","14","-0,3","-30,8"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 oktober","10","21","11","-8,9","-24,6"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 november","15","27","12","16,7","-27,1"
"12 Tabak en tabaksfabricaten","Niet-EU","2021 december","17","17","0","39,0","-10,1"
"12 Tabak en tabaksfabricaten","Niet-EU","2021","143","276","133",".","."
"12 Tabak en tabaksfabricaten","Niet-EU","2022 januari*","12","22","10",".","."
"12 Tabak en tabaksfabricaten","Niet-EU","2022 februari*","9","19","10",".","."
"12 Tabak en tabaksfabricaten","Niet-EU","2022 maart*","15","33","17",".","."
"12 Tabak en tabaksfabricaten","Niet-EU","2022 april*","12","25","13",".","."
"21 Ongelooide huiden en vellen","Totaal landen","2021 mei","6","16","9","60,3","127,6"
"21 Ongelooide huiden en vellen","Totaal landen","2021 juni","7","19","12","77,8","123,6"
"21 Ongelooide huiden en vellen","Totaal landen","2021 juli","6","12","6","51,9","20,7"
"21 Ongelooide huiden en vellen","Totaal landen","2021 augustus","6","9","3","49,7","30,9"
"21 Ongelooide huiden en vellen","Totaal landen","2021 september","7","19","12","12,3","9,5"
"21 Ongelooide huiden en vellen","Totaal landen","2021 oktober","8","15","7","88,4","-6,9"
"21 Ongelooide huiden en vellen","Totaal landen","2021 november","8","20","12","89,0","29,2"
"21 Ongelooide huiden en vellen","Totaal landen","2021 december","6","18","11","29,7","23,4"
"21 Ongelooide huiden en vellen","Totaal landen","2021","74","200","126","26,8","27,8"
"21 Ongelooide huiden en vellen","Totaal landen","2022 januari*","5","16","11",".","."
"21 Ongelooide huiden en vellen","Totaal landen","2022 februari*","6","12","6",".","."
"21 Ongelooide huiden en vellen","Totaal landen","2022 maart*","5","20","14",".","."
"21 Ongelooide huiden en vellen","Totaal landen","2022 april*","5","15","10",".","."
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 mei","6","11","5","59,1","83,2"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 juni","7","14","7","73,0","135,6"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 juli","6","11","5","53,4","65,5"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 augustus","5","6","1","49,5","38,8"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 september","7","16","9","26,1","37,5"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 oktober","7","13","6","70,4","28,0"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 november","7","14","7","87,0","52,8"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021 december","6","11","5","29,0","33,2"
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2021","72","154","82",".","."
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2022 januari*","5","13","8",".","."
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2022 februari*","5","11","6",".","."
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2022 maart*","5","17","12",".","."
"21 Ongelooide huiden en vellen","EU (exclusief Nederland)","2022 april*","5","13","8",".","."
"21 Ongelooide huiden en vellen","Niet-EU","2021 mei","0","4","4","111,6","517,5"
"21 Ongelooide huiden en vellen","Niet-EU","2021 juni","0","5","5","819,0","98,0"
"21 Ongelooide huiden en vellen","Niet-EU","2021 juli","0","2","2","-2,0","-53,5"
"21 Ongelooide huiden en vellen","Niet-EU","2021 augustus","0","3","3","63,2","15,9"
"21 Ongelooide huiden en vellen","Niet-EU","2021 september","0","3","2","-76,4","-52,2"
"21 Ongelooide huiden en vellen","Niet-EU","2021 oktober","1","2","1","833,9","-66,2"
"21 Ongelooide huiden en vellen","Niet-EU","2021 november","0","6","5","219,7","-6,9"
"21 Ongelooide huiden en vellen","Niet-EU","2021 december","0","6","6","54,4","8,6"
"21 Ongelooide huiden en vellen","Niet-EU","2021","3","46","44",".","."
"21 Ongelooide huiden en vellen","Niet-EU","2022 januari*","0","3","3",".","."
"21 Ongelooide huiden en vellen","Niet-EU","2022 februari*","1","1","0",".","."
"21 Ongelooide huiden en vellen","Niet-EU","2022 maart*","0","2","2",".","."
"21 Ongelooide huiden en vellen","Niet-EU","2022 april*","0","2","2",".","."
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 mei","329","166","-163","2,1","47,3"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 juni","325","134","-190","35,4","2,8"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 juli","339","153","-186","36,5","28,8"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 augustus","399","151","-248","34,4","6,1"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 september","421","148","-273","7,2","-9,4"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 oktober","318","130","-188","24,3","-17,0"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 november","288","174","-115","-6,6","1,4"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021 december","337","185","-152","38,4","28,4"
"22 Oliehoudende zaden en vruchten","Totaal landen","2021","3.869","1.813","-2.056","12,9","10,8"
"22 Oliehoudende zaden en vruchten","Totaal landen","2022 januari*","263","146","-117",".","."
"22 Oliehoudende zaden en vruchten","Totaal landen","2022 februari*","229","112","-117",".","."
"22 Oliehoudende zaden en vruchten","Totaal landen","2022 maart*","313","141","-171",".","."
"22 Oliehoudende zaden en vruchten","Totaal landen","2022 april*","427","170","-256",".","."
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 mei","37","159","121","-6,3","60,0"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 juni","24","122","97","-67,2","4,6"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 juli","129","137","8","179,6","26,2"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 augustus","112","140","28","54,8","6,1"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 september","116","136","19","-1,6","-10,8"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 oktober","95","121","26","88,2","-15,6"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 november","37","163","126","-27,3","4,1"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021 december","91","171","80","37,8","28,1"
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2021","760","1.688","928",".","."
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2022 januari*","38","140","101",".","."
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2022 februari*","50","105","56",".","."
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2022 maart*","65","133","68",".","."
"22 Oliehoudende zaden en vruchten","EU (exclusief Nederland)","2022 april*","94","163","68",".","."
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 mei","291","7","-285","3,3","-47,9"
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 juni","300","13","-288","81,1","-12,0"
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 juli","210","16","-194","3,9","56,7"
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 augustus","287","11","-276","27,9","5,6"
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 september","304","12","-292","11,0","9,7"
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 oktober","224","9","-214","8,6","-31,9"
"22 Oliehoudende zaden en vruchten","Niet-EU","2021 november","251","11","-241","-2,6","-28,1"
